text,intent
how many seats are available in computer engineering,intake
what is the intake capacity for b tech,intake
total seats in cse and aiml,intake
intake of mechanical and civil engineering,intake
number of seats in electrical engineering,intake
what is the intake of mba and mca,intake
branch wise seat intake capacity,intake
how many students are admitted in each branch,intake
tell me about scholarships,scholarship
is ebc scholarship available,scholarship
government scholarships for engineering students,scholarship
how to apply for mahadbt scholarship,scholarship
what financial aid or fee concession is offered,scholarship
scholarships for sc st obc students,scholarship
tuition fee waiver scheme tfws details,scholarship
financial concession for reserved category,scholarship
how can i get fee concession scholarship,scholarship
tell me about the library,library
does the college have a library,library
how many books are in the central library,library
library timings and facilities,library
is digital library or delnet available,library
reading room facility in the library,library
books and journals in the library,library
central library collection and resources,library
is hostel available,hostel
tell me about the hostel facility,hostel
are there separate hostels for boys and girls,hostel
hostel amenities mess and food,hostel
accommodation on campus for students,hostel
what is the hostel fee and room facilities,hostel
boys hostel and girls hostel details,hostel
is residential facility provided for outside students,hostel
what facilities are available at the college,facilities
tell me about campus facilities and infrastructure,facilities
is wifi available on campus,facilities
sports facilities and gym at prpcem,facilities
canteen and cafeteria facility,facilities
college bus transport facility,facilities
campus amenities and infrastructure,facilities
infrastructure and campus amenities,facilities
auditorium and seminar halls in college,facilities
tell me about the laboratories,laboratories
what labs are available in computer science,laboratories
practical labs in engineering departments,laboratories
are laboratories well equipped,laboratories
workshop and cnc lab details,laboratories
specialized research labs and equipment,laboratories
hardware and software computing labs,laboratories
show me the academic calendar,academic_calendar
when do classes start,academic_calendar
academic schedule for semester,academic_calendar
dates for internal exams and mid sem tests,academic_calendar
academic calendar for 2025 26,academic_calendar
teaching days and holiday calendar,academic_calendar
when is the semester start and end date,academic_calendar
academic terms schedule and timeline,academic_calendar
where can i find the syllabus,syllabus
show me the curriculum and scheme,syllabus
syllabus for autonomous b tech,syllabus
download syllabus for computer engineering,syllabus
autonomous course scheme 2026 27,syllabus
where is the syllabus of electrical and extc,syllabus
course curriculum and syllabus pdf,syllabus
teaching scheme and examination scheme syllabus,syllabus
tell me about examinations,examination
how are autonomous exams conducted,examination
when are end semester examinations held,examination
how to fill online exam form,examination
exam form portal link,examination
backlog exam rules and timetable,examination
end semester exam schedule and hall ticket,examination
evaluation and grading examination system,examination
what are the latest notices,notices
show me recent college notices,notices
any new announcements from dean academics,notices
latest exam notifications,notices
important updates and circulars,notices
official notices board and announcements,notices
new circulars from principal office,notices
how can i contact the college,contact
what is the college contact number,contact
email address of prpcem,contact
phone number of admission office,contact
principal contact email,contact
how to get in touch with prpcem,contact
helpline phone numbers for enquiry,contact
official email and phone for communication,contact
where is the college located,location
what is the address of prpcem,location
how to reach pote college amravati,location
location of p r pote patil college,location
which road is prpcem on in amravati,location
directions to prpcem campus,location
postal address of pote college,location
is prpcem autonomous,autonomy
autonomy status of pote college,autonomy
is the college affiliated to sgbau,autonomy
what is the autonomous curriculum structure,autonomy
ordinance and academic regulations of prpcem,autonomy
autonomous status and university affiliation,autonomy
academic rules under autonomous institute,autonomy
what is the naac accreditation grade,accreditation
is prpcem naac accredited,accreditation
what is the naac grade of the college,accreditation
is the institute approved by aicte,accreditation
dte code and naac score of prpcem,accreditation
accreditation and approval details,accreditation
naac a grade certificate details,accreditation
tell me about campus placements,placement
which companies visit for campus placement,placement
placement records and salary packages,placement
training and placement cell activities,placement
what companies recruit from pote college,placement
tcs infosys wipro placement at prpcem,placement
highest and average package in placement,placement
training and placement cell tp cell,placement
who is the principal,principal
who is the principal of prpcem,principal
who is the principal of the college,principal
tell me the principal name,principal
name of the principal,principal
who heads prpcem as principal,principal
who is our principal,principal
principal of pote college,principal
who is dr jawandhiya,principal
who is dr p m jawandhiya,principal
who is jawandhiya,principal
principal contact details,principal
tell me about the principal,principal
who is the director or principal,principal
who is the current principal,principal
who is the chairman,chairman
who is the founder,chairman
who is the chairman of prpcem,chairman
who is the founder chairman,chairman
who founded prpcem,chairman
who is the president of the trust,chairman
who is pravinkumar pote,chairman
who is pravin pote,chairman
who is shri pravinkumar r pote patil,chairman
founder and chairman name,chairman
who is the vice chairman,chairman
who is shreyash pote,chairman
who is shri shreyash p pote,chairman
tell me about the chairman,chairman
who started the college,chairman
who established pote college,chairman
who is the dean,dean
who is the dean of academics,dean
dean of academics name,dean
who is the academic dean,dean
who is dr kute,dean
who is dr v b kute,dean
who heads the academic office as dean,dean
dean academics contact,dean
who is the dean of prpcem,dean
who is the dean of academics at prpcem,dean
tell me about the dean,dean
who are the college leaders,leadership
tell me about the leadership,leadership
who manages the college,leadership
board of trustees,leadership
management of prpcem,leadership
key administrators of prpcem,leadership
who runs the college,leadership
governing body of prpcem,leadership
leadership team of pote college,leadership
